"email","start_date","address","region","phone_number","end_date"
"dzvonik30@att.net","7/6/15","9195 George Street,Cleveland,OH,44121","midwest","(216)926-9604",""
"","","","","",""
"jburuato62@gmail.com","","","","",""
"laurey.biffar@mac.com","12/9/13","444 Bank Street,Elk Grove,CA,95757","west","(916)519-4122",""
"mulanax60@yahoo.com","9/3/12","882 Park Place,Santa Ana,CA,92703","west","(714)633-4198",""
"herding27@hotmail.com","1/2/10","3278 7th AVE,Howell,NJ,07731","midatlantic","(732)353-4861","9/8/13"
"nkwok79@gmail.com","12/26/14","6678 Church Street,Redmond,OR,97756","northwest","(541)727-8215",""
"jgrabel@aol.com","10/1/16","9213 Main ST W,Burns,OR,97720","northwest","(541)399-4842",""
"rmabutas@hotmail.com","8/13/13","1722 Windsor Court,Stockton,CA,95219","west","(209)488-5308",""
"craig.cousins@gmail.com","1/3/11","536 11th Street,Walla Walla,WA,99362","northwest","(509)900-5176",""
"denisha.solesbee@gmail.com","8/19/10","61249 4th Avenue,Half Moon Bay,CA,94019","west","(650)258-97s28",""
"cmenousek91@gmail.com","12/22/15","157 Park Avenue,Troy,NY,12182","midatlantic","(518)490-2717",""
"","","","","",""
"","","","","",""
"","","","","",""
"yuriy44@gmail.com","10/17/12","442 Park Avenue,Whitesburg,TN,37891","south","(423)556-4809",""
"yue66@gmail.com","10/14/13","9491 Vine ST APT C,Spring Hill,FL,34608","south","(352)918-4506",""
"arpad.terndrup@att.net","12/10/13","733 3rd Street,Tewksbury,MA,01876","northest","(978)770-2626",""
"zofia.bareket@hotmail.com","9/14/15","2667 River Road,Houston,TX,77055","southwest","(281)853-4137",""
"faucheux96@gmail.com","7/20/15","3907 Woodland Drive,Orlando,FL,32839","south","(407)560-9042",""
"lige.caracoza@yahoo.com","","","","",""
"lauree.garesche@yahoo.com","11/10/16","651 Main Street North,Revere,MA,02151","northest","(339)529-8838",""
"gamaliel.mein@comcast.net","12/20/15","683 3rd ST,Atascadero,,93422","west","(805)795-9951",""
"bannish52@yahoo.com","3/4/14","3068 Canterbury Court,Delmar,DE,19940","midatlantic","(302)336-3587",""
"charlean.boehm@att.net","10/8/12","3542 5th Street West,Easley,SC,29640","south","(864)490-1683",""
"siegle29@gmail.com","7/18/13","8229 College ST,Kissimmee,FL,34758","south","(407)446-3631",""
"gus91@att.net","10/24/16","5337 Broad Street,Sparta,TN,38583","south","(931)508-3588",""
"rmayhood@mac.com","1/25/16","196 Laurel Lane,Brooklyn,NY,11235","midatlantic","(718)514-4705",""
"","","","","",""
"cvonfange@aol.com","8/8/16","3060 East Street,San Marcos,CA,92069","west","(714)966-3286","5/22/16"
"wibel35@gmail.com","3/2/15","5306 Pearl ST,Loudon,TN,37774","south","(865)480-1217",""
"marilou.vacarro@gmail.com","1/24/16","5850 Pearl Street,Cherry Valley,MA,01611","northest","(508)231-8101",""
"lashawn.abodeely@yahoo.com","1/13/16","8450 Myrtle Avenue,Middle River,MD,21220","midatlantic","(410)413-2755",""
"bozeat88@att.net","2/1/12","504 Creek Road,Douglasville,GA,30135","south","(770)766-6957",""
"kishore44@gmail.com","6/4/16","2402 Maple Avenue,El Paso,TX,79904","southwest","(915)271-4504",""
"skarohl@yahoo.com","","","","",""
"krevo@gmail.com","10/1/12","5934 Prospect Street,Winfield,KS,67156","midwest","(620)640-2719",""
"","","","","",""
"verna96@gmail.com","2/9/16","7313 3rd Avenue,Fort Wayne,IN,46815","midwest","(260)284-8646",""
"gaylan.jordt@att.net","6/26/15","4579 Park ST,Lake City,SC,29560","south","(843)354-1432",""
"margarethe94@att.net","10/2/12","189 Hillcrest Drive,Claremore,OK,74017","southwest","(918)689-4113",""
"chanvelt@outlook.com","9/28/15","8077 5th ST W,Ransomville,NY,14131","midatlantic","(716)367-4996",""
"audria.formentini@aol.com","12/8/14","7782 Grove Street,Haverhill,MA,01830","northest","(978)339-3402",""
"zhertzfeld25@aol.com","4/7/15","3668 Colonial Drive,San Francisco,CA,94109","west","(415)948-9735",""
"burchfiel80@att.net","6/2/15","3197 Lafayette AVE,Los Angeles,CA,90025","west","(213)766-5915",""
"silvano.reash@att.net","12/17/14","3297 Academy ST,Little Rock,AR,72223","south","(501)274-2655",""
"tobby.griesert@gmail.com","10/11/16","4232 Henry Street,Osseo,WI,54758","midwest","(715)534-1977",""
"ayda.mulat92@gmail.com","6/12/12","591 Aspen CT,Bessemer,AL,35023","south","(205)520-9088",""
"aharbus21@gmail.com","2/11/15","32879 Mill Street,Bahama,NC,27503","south","(919)755-3812",""
"pilipovic26@gmail.com","9/15/15","4797 Grove Street,Carrollton,TX,75010","southwest","(214)806-6495",""
"wmacneill@att.net","3/29/12","3224 Orange Street,Williamston,MI,48895","midwest","(517)856-2981","4/16/12"
"giulia.linnan28@gmail.com","7/19/11","309 Cambridge Drive,Dos Palos,CA,93620","west","(209)328-8570",""
"aroche59@gmail.com","","","","",""
"mblattman@aol.com","11/18/15","9738 Laurel Street,Phoenix,AZ,85020","southwest","(602)526-4515",""
"clapshaw62@mac.com","9/16/13","5095 Elm AVE,Redwood City,CA,94062","west","(650)282-2046",""
"","","","","",""
"","","","","",""
"jerusha.ortegon@gmail.com","4/28/15","296 Fairway DR,Stuart,FL,34996","south","(561)968-1076",""
"mgebre@hotmail.com","12/7/12","7340 Poplar ST,Titus,AL,36080","south","(334)642-1460",""
"ssambrick54@gmail.com","12/21/15","4498 George Street,West Bloomfield,MI,48323","midwest","(248)267-5366",""
"marisol.vesprini@yahoo.com","","","","",""
"jermey.lowin@aol.com","12/30/16","6661 Fairview AVE,Quincy,MA,02169","northest","(781)406-1061",""
"nholian37@aol.com","1/11/16","6968 3rd Street,Herkimer,NY,13350","midatlantic","(315)829-2354","1/5/16"
"","","","","",""
"gumlaw46@gmail.com","8/21/13","8007 Laurel Street,Brooklyn,NY,11215","midatlantic","(917)286-8926",""
"mccrossin71@gmail.com","12/3/13","9253 Hillcrest DR,Texarkana,TX,75503","southwest","(903)596-1866",""
"dmccaddin39@yahoo.com","1/14/15","6324 Park Street,Escondido,CA,92027","west","(760)291-2220",""
"mulacek97@att.net","1/7/14","5383 Devon Road,Tomball,TX,77377","southwest","(713)786-7313",""
"khadija.schwarzmann@yahoo.com","2/10/15","38007 North Street,Winfield,AL,35594","south","(205)627-2793",""
"chieu29@gmail.com","1/5/10","4484 Jefferson ST,Denver,CO,80203","southwest","(720)609-8956",""
"kia91@yahoo.com","10/10/16","267 Hillcrest Drive,Lanham,MD,20706","midatlantic","(240)213-6621",""
"thatch76@gmail.com","9/27/14","6623 Willow Street,Marion,IL,62959","midwest","(618)766-8416",""
"","","","","",""
"lkangeter@att.net","4/3/12","6098 Lafayette Avenue,Lansing,MI,48917","midwest","(517)657-9996",""
"hdreaden95@yahoo.com","7/23/14","118 Prospect Avenue,Palm Beach,FL,33480","south","(561)947-8321",""
"osenberg24@gmail.com","12/15/15","7384 6th Avenue,Stillwater,MN,55082","midwest","(612)998-1155",""
"rausk@gmail.com","6/3/16","85013 3rd Street North,Fontana,CA,92335","west","(909)475-7041",""
"","","","","",""
"orvin.koinzan@att.net","8/12/13","5177 Pearl ST,Englewood,CO,80111","southwest","(303)528-1894",""
"assunta37@yahoo.com","","","","",""
"salil56@gmail.com","4/27/16","785 Pennsylvania Avenue,Temple City,CA,91780","west","(562)309-9273",""
"ckreuziger@yahoo.com","1/19/16","22473 Cedar ST,Lumberton,MS,39455","south","(769)253-5921",""
"jazmin82@att.net","12/14/16","3020 9th Street,Sandy,UT,84092","southwest","(801)550-9309",""
"tanguilig23@att.net","9/2/13","9670 Elm Avenue,Bloomington,IL,61701","midwest","(309)487-4142",""
"taffy69@att.net","12/14/16","3689 Essex Court,Glendale,AZ,85306","southwest","(623)673-6816",""
"kbonifant99@gmail.com","9/4/14","457 Division Street,Lombard,IL,60148","midwest","(773)535-3200",""
"epimenio.stouter49@gmail.com","9/24/16","92153 Cambridge Court,Lockport,IL,60441","midwest","(815)505-6784",""
"magargle98@gmail.com","1/18/14","728 Union Street,Romeoville,IL,60446","midwest","(630)635-2993","6/8/15"
"ilma.damast@aol.com","12/12/15","5676 John Street,Saint Paul,MN,55128","midwest","(612)376-8259",""
"narsi99@yahoo.com","2/6/15","1166 Elizabeth ST,Lynnwood,WA,98087","northwest","(425)748-2863",""
"dewain.chronowski@gmail.com","3/7/16","850 Arch Street,Rainsville,AL,35986","south","(256)734-4308",""
"nreinders43@gmail.com","12/5/16","1483 Fairview Avenue,Jamaica,NY,11434","midatlantic","(646)986-1648",""
"lamonte.spagner@gmail.com","","","","",""
"jkhera@att.net","8/10/15","757 Orange Street,Saint Clair Shores,MI,48082","midwest","(586)559-4119",""
"shakira50@gmail.com","8/27/10","6688 Main ST N,Wyanet,IL,61379","midwest","(815)456-2027",""
"farrag58@aol.com","1/19/15","3207 Bridge Street,Port Lavaca,TX,77979","southwest","(361)896-7247",""
"katey.kerkstra@gmail.com","8/8/13","360 King ST,Louisville,KY,40203","south","(502)494-5425",""
"kulwant.mcspirit@hotmail.com","8/6/12","43518 Dogwood Drive,El Paso,TX,79924","southwest","(915)750-9737",""
"lenn.zettle@aol.com","8/28/13","9169 Jefferson Street,Salt Lake City,UT,84102","southwest","(801)650-7075",""
"isak.milbauer@att.net","7/12/13","8830 11th Street,Deerfield,NH,03037","northest","(603)572-1489","3/5/14"
"khetani57@gmail.com","6/5/12","585 Aspen Court,San Diego,CA,92123","west","(619)975-5344",""
"","","","","",""
"margarete96@yahoo.com","9/28/13","562 King Street,Winchester,KY,40391","south","(859)388-4702",""
"apolonia18@gmail.com","2/8/13","813 7th Avenue,Ketchum,ID,83340","northwest","(208)705-2352",""
"mentges67@yahoo.com","4/28/15","3975 Grant Street,Smyrna,GA,30082","south","(678)492-6702",""
"lsmigiel30@hotmail.com","2/20/16","2739 Canterbury CT,Chicago,IL,60640","midwest","(312)978-7299",""
"chloe.braegger@gmail.com","5/2/16","5812 11th Street,Karnes City,TX,78118","southwest","(830)705-4233",""
"jinnie.boughter@gmail.com","9/4/12","5984 5th Street North,Las Vegas,NV,89101","west","(702)437-2874",""
"","","","","",""
"yshimasaki@yahoo.com","12/18/15","8876 Main Street East,Fresh Meadows,NY,11366","midatlantic","(718)436-4026",""
"donavon93@gmail.com","5/19/14","3900 Henry ST,Eubank,KY,42567","south","(606)974-4182",""
"micheal.perttula@comcast.net","7/26/11","1058 Mill Road,Yucaipa,CA,92399","west","(909)830-4705","8/8/12"
"dmisiolek@yahoo.com","1/5/13","58107 Penn ST,Huntsville,AL,35802","south","(256)295-9594",""
"bodrick25@att.net","5/10/11","4654 Penn Street,Springfield,MO,65810","midwest","(417)409-5628",""
"harry.sawchyn@hotmail.com","3/17/16","1717 10th ST,Silver Spring,MD,20910","midatlantic","(301)382-1673",""
"sierra.stalinski@att.net","2/9/15","477 Washington Street,Chalmette,,70043","south","(504)627-1981",""
"cay.javes35@hotmail.com","1/14/13","32942 Railroad ST,Bell Gardens,CA,90201","west","(562)934-3349",""
"","","","","",""
"naoko.sudberry@gmail.com","","","","",""
"rinier29@hotmail.com","6/2/16","343 6th Street West,Birmingham,AL,35215","south","(205)695-1416",""
"faron.seaba@gmail.com","9/13/16","507 Market Street,Potlatch,ID,83855","northwest","(208)699-1405",""
"aravind.hilldale@yahoo.com","2/26/16","7269 Henry ST APT C,New Milford,NJ,07646","midatlantic","(201)775-1762",""
"trossbach53@outlook.com","3/23/12","89722 3rd Avenue,Semmes,AL,36575","south","(251)232-9460",""
"chip40@att.net","3/26/15","898 12th Street East,Waynesville,OH,45068","midwest","(937)666-9693",""
"nerissa82@gmail.com","1/12/16","1356 8th Street,Baton Rouge,LA,70810","south","(225)830-6611",""
"faszczewski55@hotmail.com","10/22/13","1366 Glenwood Avenue,Cape Coral,FL,33909","south","(239)847-2339","10/7/15"
"saralee.fello@mac.com","12/22/16","122 Beechwood DR,Pea Ridge,AR,72751","south","(479)716-7331",""
"challenor59@gmail.com","2/15/14","3723 King Street APT A,Kenmore,WA,98028","northwest","(425)431-3426",""
"marlina.hefer@yahoo.com","10/22/16","149 Meadow Lane APT A,Bagley,MN,56621","midwest","(218)534-9258",""
"mayumi.sohnrey29@gmail.com","9/4/14","794 Cedar Avenue,Los Angeles,CA,90065","west","(323)638-2090",""
"dewayne.wailes@comcast.net","12/17/13","141 Woodland Drive,Meridian,ID,83646","northwest","(208)681-7360",""
"njenga81@outlook.com","12/4/16","34260 Prospect Avenue,Riverview,FL,33579","south","(813)671-4680",""
"asciubba44@att.net","1/18/12","371 Devon RD,Oceanside,CA,92057","west","(760)452-8761",""
"manjit87@gmail.com","4/19/16","4577 School Street,Glendora,CA,91741","west","(626)959-2910",""
"bkikkert@yahoo.com","3/7/16","717 Ridge Avenue,Winnemucca,NV,89445","west","(775)406-1098",""
"dsmolen@gmail.com","10/2/15","9778 Dogwood Drive,Los Alamitos,CA,90720","west","(310)371-7178",""
"westom51@yahoo.com","7/6/15","9600 Pennsylvania Avenue,Ennis,TX,75119","southwest","(903)454-8230","7/28/15"
"rgavrilos87@aol.com","3/21/14","72404 5th Street West,Madison,CT,06443","northest","(203)860-6374",""
"jacquelinea.rammal19@yahoo.com","8/17/16","65107 Hill Street,Tacoma,WA,98445","northwest","(253)327-1511",""
"wissam.owca@yahoo.com","","","","",""
"ripperton71@aol.com","9/2/14","397 Adams Street,Table Grove,IL,61482","midwest","(309)204-1433",""
"anjanette.julis30@hotmail.com","2/17/14","3366 State Street,Naugatuck,CT,06770","northest","(203)852-8043",""
"jair59@gmail.com","2/11/14","6177 Penn Street,Mankato,MN,56001","midwest","(612)481-9205",""
"jenita.kubilius@yahoo.com","11/18/13","805 Hamilton Street,Clinton,NY,13323","midatlantic","(315)306-7531","7/20/15"
"","","","","",""
"bachman79@comcast.net","7/4/11","119 Madison ST,Hesperia,CA,92344","west","(760)755-1076",""
"mkurriger@yahoo.com","11/25/16","8232 2nd Street East,Robbinsville,NC,28771","south","(704)396-3083",""
"mfarrara62@yahoo.com","1/11/13","4074 Park Drive,Bel Air,MD,21015","midatlantic","(443)923-1561",""
"herschel52@gmail.com","1/3/14","6146 Lafayette Avenue,Hewitt,TX,76643","southwest","(254)684-7655",""
"merla76@att.net","12/13/14","4452 Madison ST,Baldwin Park,CA,91706","west","(323)661-4004",""
"malfavon71@yahoo.com","8/17/12","5900 Lake Street,Independence,KY,41051","south","(859)394-1475",""
"carolyne83@hotmail.com","9/19/16","2701 13th Street,Green Bay,WI,54301","midwest","(715)804-7589",""
"rufino.toedte@att.net","12/11/14","2396 2nd ST,Jackson,GA,30233","south","(770)502-1380",""
"catarina.watrud@hotmail.com","","","","",""
"remedios94@att.net","3/3/14","387 Main Street South,Woburn,MA,01801","northest","(508)397-7423",""
"lucita.zulic@att.net","1/3/15","443 Williams Street,Saint Louis,MO,63128","midwest","(314)886-2984",""
"","","","","",""
"dax41@att.net","12/12/15","782 Center ST,Chesapeake,VA,23323","south","(757)580-2585",""
"gorenflo45@comcast.net","3/12/10","577 Locust Lane,Little Falls,NJ,07424","midatlantic","(973)498-4997",""
"tyron72@gmail.com","8/19/15","85959 Valley Road,Fayetteville,NC,28301","south","(919)526-2871",""
"maplethorpe93@att.net","2/18/16","2743 Brookside Drive,Gainesville,FL,32609","south","(386)704-9049",""
"","","","","",""
"maduena17@gmail.com","3/7/16","284 10th ST,Cape May,NJ,08204","midatlantic","(609)203-5762",""
"capes68@att.net","3/17/11","3418 Jackson Street,New York,NY,10025","midatlantic","(212)829-7138",""
"len46@gmail.com","10/23/10","7482 Grove Street,El Paso,TX,79924","southwest","(915)712-1780",""
"malynda99@comcast.net","10/14/15","4036 Washington AVE,Milwaukee,WI,53212","midwest","(414)492-1913",""
"hdewaard@hotmail.com","11/3/14","7886 Poplar Street,Monroe,LA,71202","south","(318)683-9653",""
"sbauchle38@gmail.com","1/21/15","5438 Highland Avenue,Weslaco,TX,78596","southwest","(956)385-8916",""
"zedd87@hotmail.com","8/29/16","3971 Spruce ST,Dover,DE,19901","midatlantic","(302)716-6977",""
"lakeesha52@att.net","9/24/12","1319 Fairway Drive,Port Byron,IL,61275","midwest","(309)849-9828",""
"bernadean.knore@yahoo.com","1/20/12","695 4th Street,Wesley Chapel,FL,33545","south","(813)774-4033",""
"sozello40@att.net","9/22/14","527 Cambridge Court,Waldorf,,20602","midatlantic","(240)617-6422",""
"naomie.rochet@outlook.com","12/27/16","97291 5th Street West,Salina,KS,67401","midwest","(785)817-3325",""
"elouise.mumme@yahoo.com","11/28/14","9275 Woodland Avenue,Rego Park,NY,11374","midatlantic","(718)822-9594",""
"orin.dahlkamp@gmail.com","1/30/15","1407 Court Street,Jamison,PA,18929","midatlantic","(267)892-1285",""
"arminda71@yahoo.com","6/26/15","2052 Aspen Court,Grove City,OH,43123","midwest","(614)557-2469",""
"staley46@gmail.com","9/18/12","4154 Harrison ST,Salisbury,NC,28146","south","(704)930-7613",""
"witty41@gmail.com","12/6/11","2247 Academy Street,Collins,MS,39428","south","(769)298-4538",""
"enedina.terrill@att.net","6/17/11","5374 Colonial Avenue,Greer,SC,29651","south","(864)641-6149",""
"heydenburg48@yahoo.com","8/23/14","427 Williams Street,Brentwood,TN,37027","south","(615)585-7131",""
"weidong.himelhoch@gmail.com","8/18/14","304 Adams Street,Coventry,RI,02816","northest","(401)417-4925",""
"mesches25@att.net","5/19/15","4357 Valley View Drive,Valley Stream,NY,11581","midatlantic","(516)582-5747","9/30/15"
"klausier31@att.net","1/21/15","4835 Clinton ST,Jacksonville,FL,32220","south","(904)542-3253",""
"winford31@gmail.com","","","","",""
"tomkiewicz39@gmail.com","12/6/14","3367 Vine Street,Inverness,FL,34452","south","(352)534-3306",""
"","","","","",""
"jafar.annonson@aol.com","1/10/13","9244 Maple Avenue,Fairport,NY,14450","midatlantic","(585)233-3045",""
"dearmas99@att.net","9/25/12","981 Summit Avenue,Juneau,AK,99801","west","(907)497-5910",""
"emelda49@mac.com","9/3/11","447 Devon Road,Cisco,TX,76437","southwest","(254)302-6518",""
"anish.furchak45@att.net","10/7/14","9439 Liberty Street,San Francisco,CA,94134","west","(415)804-6144","10/22/14"
"sasinowski63@gmail.com","3/5/14","526 Main ST S,Milford,MA,01757","northest","(774)755-1266",""
"lindbergh68@gmail.com","8/23/12","8343 Elm Street,Central Point,,97502","northwest","(541)562-9050",""
"brigan45@att.net","2/5/16","947 Center Street,Denver,CO,80228","southwest","(720)447-8525",""
"tadashi.kempker@comcast.net","11/5/14","37850 Railroad Avenue,Seagrove,,27341","south","(336)713-3147",""
"","","","","",""
"sushila19@hotmail.com","12/28/16","763 6th ST N,Hackettstown,NJ,07840","midatlantic","(908)889-7459",""
"langelle81@yahoo.com","7/30/15","422 Oxford Court,Wilkes Barre,PA,18706","midatlantic","(570)844-3870",""
"keopanya18@gmail.com","","","","",""
